"collaboration"
1
1
6
2
1
2
2
1
1
2
1
1
3
1
4
4
1
2
6
10
1
20
4
1
1
9
1
1
1
3
19
14
1
14
1
6
7
1
2
7
1
1
2
2
2
2
1
52
2
1
1
25
1
3
1
1
1
2
1
1
1
1
1
1
3
2
1
22
2
3
1
2
1
2
1
1
1
1
1
1
1
1
2
9
1
4
2
1
1
3
8
2
1
4
3
1
12
1
1
1
1
5
1
1
1
1
12
1
5
1
1
1
1
1
1
1
4
18
1
44
1
1
5
1
1
1
1
1
6
2
1
1
1
5
3
1
2
2
1
10
16
2
2
95
3
1
6
1
6
1
2
2
1
1
1
1
1
24
3
1
1
3
1
9
1
1
1
1
2
2
2
5
1
1
5
1
2
1
1
2
1
5
2
1
1
1
13
1
1
16
4
3
1
16
29
6
1
1
1
3
1
1
3
3
3
4
2
2
1
1
1
1
3
3
2
1
1
4
5
1
1
3
2
2
2
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
4
1
3
4
1
1
4
31
4
5
6
1
7
1
1
4
13
1
8
7
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
7
1
1
1
9
3
2
2
3
5
2
2
4
1
4
3
1
14
1
2
13
12
2
16
5
1
1
1
1
2
2
1
7
2
2
1
2
1
3
1
7
1
2
1
3
11
1
3
3
1
1
1
1
1
1
37
1
3
1
1
1
4
14
1
4
1
1
1
1
1
1
1
1
2
2
4
4
4
8
1
1
5
1
1
8
2
2
3
11
1
1
1
1
2
4
2
4
1
14
1
1
1
1
2
1
9
1
1
3
3
1
1
2
2
4
3
1
3
1
1
1
2
1
2
5
1
3
2
2
1
1
5
2
1
74
2
4
1
1
2
1
19
3
3
2
1
5
1
1
1
3
1
1
1
6
5
1
4
1
1
4
6
2
5
4
2
1
3
1
3
1
2
1
1
1
1
1
1
1
6
13
1
3
3
25
6
11
1
3
2
1
9
1
1
2
2
3
39
1
2
1
2
7
2
1
1
1
2
1
1
2
1
1
1
1
4
1
1
1
2
1
4
1
6
1
2
1
3
7
1
2
1
6
1
2
4
1
1
41
1
1
1
1
5
1
2
5
6
1
3
5
5
1
1
8
4
1
2
1
12
1
1
24
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
2
2
1
1
3
1
1
4
5
5
1
1
9
1
2
1
1
4
6
5
1
5
12
2
2
5
1
1
14
1
1
5
6
1
8
1
50
51
1
4
11
21
30
1
45
2
1
27
1
32
2
3
10
11
4
5
4
4
2
2
1
1
1
4
4
2
2
3
1
1
2
19
2
2
2
3
2
1
1
1
1
1
1
1
7
4
1
1
1
18
1
20
1
1
1
2
1
1
1
12
1
9
2
7
11
4
4
1
1
2
1
3
1
4
4
2
2
2
4
4
8
2
1
1
3
1
1
20
1
3
1
2
2
1
13
2
7
1
33
2
7
1
1
2
2
2
1
1
1
1
1
1
2
2
50
20
3
1
4
3
1
1
1
3
3
4
4
2
18
2
1
2
1
1
1
1
1
2
1
1
1
4
1
1
1
6
13
37
4
1
1
1
1
1
1
18
12
1
5
1
1
1
